Company,Product,TypeName,Inches,ScreenResolution,CPU_Company,CPU_Type,CPU_Frequency (GHz),RAM (GB),Memory Type,Memory Capacity,GPU_Company,GPU_Type,OpSys,Weight (kg),Price (SAR)
HP,Elitebook 840,Notebook,14.0,Full HD 1920x1080,Intel,Core i7 7500U,2.7,8,SSD,256,Intel,HD Graphics 620,Windows 10,1.48,5129.240000000001
Lenovo,IdeaPad 320-17IKB,Notebook,17.3,1600x900,Intel,Core i5 7200U,2.5,4,HDD,1024,Nvidia,GeForce 920MX,Windows 10,2.79,2338.33
Asus,ZenBook UX410UA-GV183T,Notebook,14.0,Full HD 1920x1080,Intel,Core i7 7500U,2.7,8,SSD,256,Intel,HD Graphics 620,Windows 10,2.0,4343.18
HP,ProBook 450,Notebook,15.6,IPS Panel Full HD 1366x768,Intel,Core i7 8550U,1.8,8,HDD,1024,Intel,UHD Graphics 620,Windows 10,2.1,3580.94
Acer,Aspire 5,Notebook,15.6,1366x768,AMD,A12-Series 9720P,2.7,8,SSD,256,AMD,Radeon RX 540,Windows 10,2.2,2616.23
Lenovo,IdeaPad 120S-14IAP,Notebook,14.0,1366x768,Intel,Celeron Dual Core N3350,1.1,4,Flash,32,Intel,HD Graphics 500,Windows 10,1.44,1159.24
Acer,Aspire E5-575,Notebook,15.6,1366x768,Intel,Core i5 7200U,2.5,6,HDD,1024,Intel,HD Graphics 620,Windows 10,2.23,2179.53
Asus,VivoBook S15,Ultrabook,15.6,Full HD 1920x1080,Intel,Core i7 7500U,2.7,8,SSD,256,Nvidia,GeForce 940MX,Windows 10,1.7,4168.103000000001
HP,Elitebook 820,Ultrabook,12.5,Full HD 1920x1080,Intel,Core i7 7500U,2.7,8,SSD,256,Intel,HD Graphics 620,Windows 10,1.26,5299.95
Dell,XPS 15,Notebook,15.6,4K Ultra HD / Touchscreen 3840x2160,Intel,Core i7 7700HQ,2.8,32,SSD,1024,Nvidia,GeForce GTX 1050,Windows 10,2.06,10476.83
MSI,GL72M 7REX,Gaming,17.3,Full HD 1920x1080,Intel,Core i7 7700HQ,2.8,8,SSD+HDD,1280,Nvidia,GeForce GTX 1050 Ti,Windows 10,2.7,4760.030000000001
Toshiba,Satellite Pro,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel,Core i5 7200U,2.5,8,SSD,256,Intel,HD Graphics 620,Windows 10,2.0,3743.71
Asus,UX510UX-CN269T (i7-7500U/8GB/256GB,Notebook,14.0,Full HD 1920x1080,Intel,Core i7 7500U,2.7,8,SSD+HDD,1280,Intel,HD Graphics 620,Windows 10,2.0,5295.9800000000005
Lenovo,V310-15ISK (i3-6006U/4GB/1TB/FHD/W10),Notebook,15.6,Full HD 1920x1080,Intel,Core i3 6006U,2.0,4,HDD,1024,Intel,HD Graphics 520,Windows 10,1.85,1782.5300000000002
Asus,FX553VD-FY647T (i7-7700HQ/8GB/256GB/GeForce,Gaming,15.6,Full HD 1920x1080,Intel,Core i7 7700HQ,2.8,8,SSD,256,Nvidia,GeForce GTX 1050,Windows 10,2.5,3966.03
HP,EliteBook 840,Notebook,14.0,Full HD 1920x1080,Intel,Core i5 7300U,2.6,8,SSD,256,Intel,HD Graphics 620,Windows 10,1.48,5033.96
Dell,Inspiron 7570,Ultrabook,15.6,IPS Panel Full HD 1920x1080,Intel,Core i5 8250U,1.6,8,SSD+HDD,1152,Nvidia,GeForce 940MX,Windows 10,1.9,4164.530000000001
HP,Elitebook 850,Notebook,15.6,Full HD 1920x1080,Intel,Core i5 7200U,2.5,8,SSD,256,Intel,HD Graphics 620,Windows 10,1.84,4541.68
Asus,X541NA (N3350/4GB/1TB/Linux),Notebook,15.6,1366x768,Intel,Celeron Dual Core N3350,1.1,4,HDD,1024,Intel,HD Graphics 500,Linux,2.0,1091.7103000000002
Dell,Inspiron 7570,Notebook,15.6,Full HD 1920x1080,Intel,Core i5 8250U,1.6,8,SSD,256,Nvidia,GeForce 940MX,Windows 10,2.0,4536.717500000001
Dell,Inspiron 3552,Notebook,15.6,1366x768,Intel,Celeron Dual Core N3060,1.6,4,HDD,500,Intel,HD Graphics,Linux,2.2,1091.353
Lenovo,IdeaPad 320-15ABR,Notebook,15.6,Full HD 1920x1080,AMD,A12-Series 9720P,3.6,12,HDD,2048,AMD,Radeon 530,Windows 10,2.2,3569.03
HP,ProBook 450,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel,Core i3 7100U,2.4,8,HDD,1024,Nvidia,GeForce 930MX,Windows 10,2.1,2842.52
Lenovo,Yoga 920-13IKB,2 in 1 Convertible,13.9,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel,Core i7 8550U,1.8,16,SSD,512,Intel,UHD Graphics 620,Windows 10,1.4,8333.03
Dell,XPS 13,Ultrabook,13.3,Full HD 1920x1080,Intel,Core i7 8550U,1.8,8,SSD,256,Intel,UHD Graphics 620,Windows 10,1.2,6268.63
Lenovo,Legion Y520-15IKBN,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel,Core i7 7700HQ,2.8,16,SSD+HDD,2304,Nvidia,GeForce GTX 1050 Ti,Windows 10,2.4,4482.13
HP,Stream 14-AX001nv,Notebook,14.0,1366x768,Intel,Celeron Dual Core N3060,1.6,2,Flash,32,Intel,HD Graphics 400,Windows 10,1.44,1107.63
Dell,Latitude 5590,Ultrabook,15.6,Full HD 1920x1080,Intel,Core i7 8650U,1.9,16,SSD+SSD,768,Intel,UHD Graphics 620,Windows 10,1.88,6383.6012
Asus,VivoBook Flip,2 in 1 Convertible,11.6,Touchscreen 1366x768,Intel,Celeron Dual Core N3350,1.1,4,Flash,32,Intel,HD Graphics 500,Windows 10,1.5,1488.75
Dell,Inspiron 5570,Ultrabook,15.6,Full HD 1920x1080,Intel,Core i5 8250U,1.6,8,HDD,1024,AMD,Radeon 530,Windows 10,1.9,2632.11
Dell,XPS 15,Notebook,15.6,4K Ultra HD / Touchscreen 3840x2160,Intel,Core i7 7700HQ,2.8,16,SSD,512,Nvidia,GeForce GTX 1050,Windows 10,2.06,8048.857400000001
HP,Elitebook 850,Notebook,15.6,Full HD 1920x1080,Intel,Core i7 7500U,2.7,8,SSD,256,Intel,HD Graphics 620,Windows 10,1.84,5176.88
MSI,GP72MVR 7RFX,Gaming,17.3,Full HD 1920x1080,Intel,Core i7 7700HQ,2.8,8,SSD+HDD,1152,Nvidia,GeForce GTX 1060,Windows 10,2.7,5593.7300000000005
HP,Zbook 15,Workstation,15.6,Full HD 1920x1080,Intel,Core i7 7700HQ,2.8,8,SSD,256,Nvidia,Quadro M1200,Windows 10,2.6,6900.9319000000005
Toshiba,Tecra A50-C-21G,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel,Core i7 6500U,2.5,16,SSD,512,Nvidia,GeForce 930M,Windows 10,2.4,5569.91
Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,Intel,Core i7 8550U,1.8,8,SSD+HDD,2176,AMD,Radeon 530,Windows 10,2.02,3854.473
Lenovo,IdeaPad 320-15IAP,Notebook,15.6,1366x768,Intel,Celeron Dual Core N3350,1.1,4,HDD,1024,Intel,HD Graphics 500,No OS,2.2,1278.3003
Dell,Inspiron 7577,Gaming,15.6,Full HD 1920x1080,Intel,Core i5 7300HQ,2.5,8,HDD,1024,Nvidia,GeForce GTX 1050,Windows 10,2.65,3966.03
Dell,Inspiron 3567,Notebook,15.6,Touchscreen 1366x768,Intel,Core i5 7200U,2.5,8,HDD,2048,Intel,HD Graphics 620,Windows 10,2.36,2212.7589000000003
Dell,Latitude 7480,Notebook,14.0,Full HD 1920x1080,Intel,Core i5 7300U,2.6,8,SSD,256,Intel,HD Graphics 620,Windows 10,1.36,5665.1900000000005
HP,250 G6,Notebook,15.6,1366x768,Intel,Core i3 6006U,2.0,4,HDD,500,Intel,HD Graphics 520,Windows 10,1.86,1742.8300000000002
Asus,Zenbook UX410UA-GV027T,Notebook,14.0,Full HD 1920x1080,Intel,Core i5 7200U,2.5,8,SSD,256,Intel,HD Graphics 620,Windows 10,2.0,3751.65
Lenovo,IdeaPad 320-17IKB,Notebook,17.3,1600x900,Intel,Core i5 7200U,2.5,6,SSD+HDD,1152,Nvidia,GeForce GTX 940MX,Windows 10,2.8,2854.4300000000003
HP,250 G6,Notebook,15.6,Full HD 1920x1080,Intel,Core i5 7200U,2.5,8,HDD,1024,Intel,HD Graphics 620,Windows 10,1.86,2536.83
Lenovo,IdeaPad 320-15ISK,Notebook,15.6,1366x768,Intel,Core i3 6006U,2.0,8,SSD,256,Nvidia,GeForce 920MX,No OS,2.2,1981.0300000000002
HP,15-AY023na (N3710/8GB/2TB/W10),Notebook,15.6,1366x768,Intel,Pentium Quad Core N3710,1.6,8,HDD,2048,Intel,HD Graphics 405,Windows 10,2.04,1544.3300000000002
Dell,Inspiron 5770,Notebook,17.3,Full HD 1920x1080,Intel,Core i5 8250U,1.6,8,SSD+HDD,1152,AMD,Radeon 530,Windows 10,2.8,4307.45
Lenovo,Legion Y520-15IKBN,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel,Core i5 7300HQ,2.5,8,SSD+HDD,1152,Nvidia,GeForce GTX 1050,No OS,2.4,3211.73
Dell,Inspiron 5567,Notebook,15.6,Full HD 1920x1080,Intel,Core i7 7500U,2.7,8,SSD,256,AMD,Radeon R7 M445,Windows 10,2.33,3569.03
HP,Elitebook 1040,Ultrabook,14.0,IPS Panel Full HD 1920x1080,Intel,Core i7 7500U,2.7,8,SSD,256,Intel,HD Graphics 620,Windows 10,1.36,6947.5
Asus,ZenBook Flip,2 in 1 Convertible,15.6,Full HD / Touchscreen 1920x1080,Intel,Core i7 7500U,2.7,12,SSD+HDD,2560,Nvidia,GeForce GT 940MX,Windows 10,2.26,4363.030000000001
Acer,Aspire 3,Notebook,15.6,1366x768,AMD,A9-Series 9420,3.0,4,SSD,128,AMD,Radeon R5,Windows 10,2.1,1691.22
Asus,Rog Strix,Gaming,17.3,IPS Panel Full HD 1920x1080,AMD,Ryzen 1700,3.0,16,SSD+HDD,1280,AMD,Radeon RX 580,Windows 10,3.25,8730.03
Lenovo,IdeaPad 110-17ACL,Notebook,17.3,1600x900,AMD,A8-Series 7410,2.2,4,SSD,128,AMD,Radeon R5,Windows 10,2.6,1941.3300000000002
Dell,Inspiron 5379,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel,Core i7 8550U,1.8,8,SSD,256,Intel,UHD Graphics 620,Windows 10,1.62,3449.9697
HP,15-bw003nv (A9-Series-9420/4GB/256GB/FHD/W10),Notebook,15.6,Full HD 1920x1080,AMD,A9-Series 9420,3.0,4,SSD,256,AMD,Radeon R5,Windows 10,1.91,1941.2903000000001
Lenovo,Yoga 11e,Netbook,11.6,IPS Panel 1366x768,Intel,Celeron Quad Core N3450,1.1,4,SSD,128,Intel,HD Graphics 500,Windows 10,1.59,2195.4100000000003
Dell,Inspiron 3552,Notebook,15.6,1366x768,Intel,Celeron Dual Core N3060,1.6,4,HDD,500,Intel,HD Graphics 400,Windows 10,1.8,1226.73
Asus,VivoBook E403NA,Notebook,14.0,1366x768,Intel,Celeron Dual Core N3350,1.1,4,Flash,32,Intel,HD Graphics 500,Windows 10,1.5,1135.42
Acer,Aspire 7,Notebook,15.6,Full HD 1920x1080,Intel,Core i7 7700HQ,2.8,8,HDD,1024,Nvidia,GeForce GTX 1050,Linux,2.4,3358.6200000000003
HP,Omen 17-w212nv,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel,Core i7 7700HQ,2.8,8,SSD+HDD,1152,Nvidia,GeForce GTX 1050,Windows 10,3.35,4728.27
Lenovo,V310-15ISK (i3-6006U/4GB/128GB/FHD/No,Notebook,15.6,Full HD 1920x1080,Intel,Core i3 6006U,2.0,4,SSD,128,Intel,HD Graphics 520,No OS,1.85,1601.895
Asus,ROG Strix,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel,Core i7 7700HQ,2.8,8,SSD+HDD,1152,Nvidia,GeForce GTX 1060,Windows 10,2.3,6570.35
Lenovo,IdeaPad 720S-14IKB,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel,Core i5 7200U,2.5,8,SSD,256,Nvidia,GeForce 940MX,Windows 10,1.5,4363.030000000001
Asus,Zenbook Flip,Ultrabook,13.3,Full HD / Touchscreen 1920x1080,Intel,Core i7 7500U,2.7,16,SSD,512,Intel,HD Graphics 620,Windows 10,1.1,6943.133000000001
Lenovo,Thinkpad X1,Ultrabook,14.0,IPS Panel 2560x1440,Intel,Core i7 7500U,2.7,8,SSD,512,Intel,HD Graphics 620,Windows 10,1.13,9059.54
Lenovo,Ideapad 510S-13IKB,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel,Core i3 7100U,2.4,4,SSD,128,Intel,HD Graphics 620,Windows 10,1.5,2179.53
Dell,Precision 3510,Workstation,15.6,Full HD 1920x1080,Intel,Core i5 6440HQ,2.6,8,HDD,500,AMD,FirePro W5130M,Windows 10,2.23,5434.93
Dell,Precision 5520,Workstation,15.6,IPS Panel Full HD 1920x1080,Intel,Core i7 6820HQ,2.7,8,SSD,256,Nvidia,Quadro M1200,Windows 10,2.0,8475.95
Lenovo,ThinkPad X1,2 in 1 Convertible,14.0,Touchscreen 2560x1440,Intel,Core i7 7500U,2.7,16,SSD,512,Intel,HD Graphics 620,Windows 10,1.42,9960.730000000001
Asus,Rog GL753VD-GC042T,Gaming,17.3,Full HD 1920x1080,Intel,Core i7 7700HQ,2.8,8,HDD,1024,Nvidia,GeForce GTX 1050,Windows 10,3.0,4124.83
Asus,Rog GL753VE-GC070T,Gaming,17.3,Full HD 1920x1080,Intel,Core i7 7700HQ,2.8,16,SSD+HDD,1280,Nvidia,GeForce GTX 1050 Ti,Windows 10,3.0,6316.27
Acer,Aspire 5,Notebook,15.6,IPS Panel 1366x768,Intel,Core i5 8250U,1.6,12,HDD,1024,Nvidia,GeForce MX130,Windows 10,2.2,2755.1403
MSI,Leopard GP72M,Gaming,17.3,Full HD 1920x1080,Intel,Core i7 7700HQ,2.8,8,SSD,256,Nvidia,GeForce GTX 1050 Ti,Windows 10,2.7,5355.530000000001
Dell,Inspiron 5567,Notebook,15.6,Full HD 1920x1080,Intel,Core i7 7500U,2.7,8,SSD,256,AMD,Radeon R7 M445,Linux,2.33,3092.1139000000003
HP,15-BW004nv (A9-9420/4GB/256GB/Radeon,Ultrabook,15.6,Full HD 1920x1080,AMD,A9-Series 9420,3.0,4,SSD,256,AMD,Radeon 520,Windows 10,1.91,1981.0300000000002
Lenovo,ThinkPad E580,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel,Core i7 8550U,1.8,8,SSD,256,AMD,Radeon RX 550,Windows 10,2.1,4881.3532000000005
Lenovo,ThinkPad L470,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel,Core i5 7200U,2.5,8,SSD,256,Intel,HD Graphics 620,Windows 10,1.9,3723.86
Dell,Precision M5520,Workstation,15.6,4K Ultra HD / Touchscreen 3840x2160,Intel,Core i7 7700HQ,2.8,8,SSD,256,Nvidia,Quadro M1200,Windows 10,1.78,10766.640000000001
Lenovo,Thinkpad X1,Ultrabook,14.0,IPS Panel 2560x1440,Intel,Core i7 7500U,2.7,16,SSD,1024,Intel,HD Graphics 620,Windows 10,1.13,10421.25
Lenovo,IdeaPad 320-15IAP,Notebook,15.6,1366x768,Intel,Celeron Dual Core N3350,1.1,4,HDD,1024,Intel,HD Graphics 500,Windows 10,2.2,1214.8200000000002
Asus,FX753VD-GC461T (i7-7700HQ/16GB/1TB,Gaming,17.3,Full HD 1920x1080,Intel,Core i7 7700HQ,2.8,16,SSD+HDD,1280,Nvidia,GeForce GTX 1050,Windows 10,2.9,6070.13
Lenovo,ThinkPad E580,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel,Core i5 8250U,1.6,8,SSD+HDD,1280,AMD,Radeon RX 550,Windows 10,2.1,4543.665
Acer,Aspire 7,Notebook,15.6,Full HD 1920x1080,Intel,Core i7 7700HQ,2.8,8,SSD,256,Nvidia,GeForce GTX 1050,Linux,2.5,3489.63
MSI,GE73VR 7RF,Gaming,17.3,Full HD 1920x1080,Intel,Core i7 7700HQ,2.8,16,SSD+HDD,1280,Nvidia,GeForce GTX 1070,Windows 10,2.8,8928.53
Asus,Zenbook 3,Ultrabook,14.0,Full HD 1920x1080,Intel,Core i7 7500U,2.7,8,SSD,512,Intel,HD Graphics 620,Windows 10,1.1,7435.81
Toshiba,Portege Z30-C-16P,Ultrabook,13.3,Full HD 1920x1080,Intel,Core i7 6500U,2.5,16,SSD,512,Intel,HD Graphics 520,Windows 10,1.2,6935.59
Dell,Latitude 7480,Ultrabook,14.0,Full HD 1920x1080,Intel,Core i7 7600U,2.8,8,SSD,512,Intel,HD Graphics,Windows 10,1.36,6669.6
Lenovo,IdeaPad 320-15ISK,Notebook,15.6,Full HD 1920x1080,Intel,Core i3 6006U,2.0,4,HDD,500,Intel,HD Graphics 520,Windows 10,2.2,1623.73
Lenovo,Lenovo IdeaPad,Notebook,11.6,1366x768,Intel,Celeron Dual Core N3350,1.1,2,Flash,32,Intel,HD Graphics 500,Windows 10,1.15,1208.6665
Lenovo,ThinkPad P51,Workstation,15.6,Full HD 1920x1080,Intel,Core i7 7700HQ,2.8,8,SSD,512,Nvidia,Quadro M1200,Windows 10,2.67,7642.25
Lenovo,Thinkpad T470p,Ultrabook,14.0,IPS Panel Full HD 2560x1440,Intel,Core i7 7700HQ,2.8,8,SSD,512,Nvidia,GeForce GT 940MX,Windows 10,1.7,7713.71
HP,15-BS028nv (i3-6006U/4GB/1TB/Radeon,Notebook,15.6,Full HD 1920x1080,Intel,Core i3 6006U,2.0,4,HDD,1024,AMD,Radeon 520,Windows 10,2.1,1861.93
Acer,Aspire R7,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel,Core i7 6500U,2.5,8,SSD,256,Intel,HD Graphics 520,Windows 10,1.6,3132.3697
Asus,ZenBook Flip,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel,Core i5 7200U,2.5,8,SSD,256,Intel,HD Graphics 620,Windows 10,1.27,3684.1600000000003
Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,Intel,Core i5 7200U,2.5,4,SSD,256,AMD,Radeon R5 M430,Linux,2.3,2377.633
Dell,Latitude 3380,Notebook,13.3,1366x768,Intel,Core i3 6006U,2.0,4,SSD,128,Intel,HD Graphics 520,Windows 10,1.65,2735.33
HP,EliteBook 1040,Ultrabook,14.0,Full HD 1920x1080,Intel,Core i7 6500U,2.5,8,SSD,256,Intel,HD Graphics 520,Windows 10,1.43,5955.0
Dell,Inspiron 3567,Notebook,15.6,1366x768,Intel,Core i5 7200U,2.5,8,HDD,1024,Intel,HD Graphics 620,Windows 10,2.14,2143.6015
Lenovo,ThinkPad E480,Ultrabook,14.0,IPS Panel Full HD 1920x1080,Intel,Core i7 8550U,1.8,8,SSD,256,AMD,Radeon RX 550,Windows 10,1.75,4825.0586
Lenovo,Yoga 720-15IKB,2 in 1 Convertible,15.6,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel,Core i7 7700HQ,2.8,16,SSD,512,Nvidia,GeForce GTX 1050,Windows 10,2.0,7539.030000000001
Chuwi,LapBook 12.3,Notebook,12.3,IPS Panel Retina Display 2736x1824,Intel,Celeron Quad Core N3450,1.1,6,Flash,64,Intel,HD Graphics 500,Windows 10,1.4,1782.5300000000002
HP,ProBook 650,Notebook,15.6,Full HD 1920x1080,Intel,Core i7 7820HQ,2.9,8,SSD,256,Intel,HD Graphics 630,Windows 10,2.31,5665.1900000000005
Asus,X542UQ-DM117 (i3-7100U/8GB/1TB/GeForce,Notebook,15.6,Full HD 1920x1080,Intel,Core i3 7100U,2.4,8,HDD,1024,Nvidia,GeForce 940MX,Linux,2.3,2370.09
Dell,Alienware 17,Gaming,17.3,IPS Panel 2560x1440,Intel,Core i7 7820HK,2.9,16,SSD+HDD,1280,Nvidia,GeForce GTX 1070,Windows 10,4.42,11112.03
Dell,Inspiron 7577,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel,Core i7 7700HQ,2.8,8,SSD+HDD,1152,Nvidia,GeForce GTX 1050 Ti,Windows 10,2.62,4601.2300000000005
Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,Intel,Core i7 8550U,1.8,8,SSD+HDD,2304,AMD,Radeon 530,Windows 10,2.02,4535.328
Dell,Latitude 5480,Ultrabook,14.0,Full HD 1920x1080,Intel,Core i7 7600U,2.8,8,SSD,256,Intel,HD Graphics 620,Linux,1.6,4363.030000000001
HP,Omen 17-w207nv,Gaming,17.3,Full HD 1920x1080,Intel,Core i7 7700HQ,2.8,12,SSD+HDD,1280,Nvidia,GeForce GTX 1070,Windows 10,3.35,7936.030000000001
Mediacom,FlexBook Edge,2 in 1 Convertible,11.6,IPS Panel Full HD / Touchscreen 1920x1080,Intel,Celeron Dual Core N3350,1.1,4,SSD,32,Intel,HD Graphics 500,Windows 10,1.16,1187.03
Samsung,Chromebook 3,Netbook,11.6,1366x768,Intel,Celeron Dual Core N3060,1.6,4,Flash,16,Intel,HD Graphics 400,Chrome OS,1.15,1067.93
Lenovo,Thinkpad 13,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel,Core i7 7500U,2.7,8,SSD,256,Intel,HD Graphics 620,Windows 10,1.4,4009.7000000000003
Lenovo,IdeaPad 320s-14IKB,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel,Core i3 7130U,2.7,4,SSD,128,Intel,HD Graphics 620,Windows 10,1.7,2378.03
Lenovo,Thinkpad T570,Workstation,15.6,IPS Panel 4K Ultra HD 3840x2160,Intel,Core i7 7600U,2.8,16,SSD,512,Nvidia,GeForce 940MX,Windows 10,2.3,9706.65
Lenovo,Thinkpad P51,Notebook,15.6,Full HD 1920x1080,Intel,Core i7 7820HQ,2.9,16,SSD,512,Nvidia,Quadro M2200M,Windows 10,2.5,9722.53
Asus,Rog Strix,Gaming,17.3,Full HD 1920x1080,AMD,Ryzen 1600,3.2,8,SSD+HDD,1280,AMD,Radeon RX 580,Windows 10,3.2,6729.150000000001
HP,15-ra044nv (N3060/4GB/500GB/W10),Notebook,15.6,1366x768,Intel,Celeron Dual Core N3060,1.6,4,HDD,500,Intel,HD Graphics 400,Windows 10,2.1,1377.5900000000001
Google,Pixelbook (Core,Ultrabook,12.3,Touchscreen 2400x1600,Intel,Core i7 7Y75,1.3,16,SSD,512,Intel,HD Graphics 615,Chrome OS,1.1,8730.03
Lenovo,ThinkPad T470s,Ultrabook,14.0,2560x1440,Intel,Core i7 7500U,2.7,24,SSD,512,Intel,HD Graphics 620,Windows 10,1.32,9456.54
Asus,VivoBook Max,Notebook,15.6,Full HD 1920x1080,Intel,Core i5 7200U,2.5,4,SSD,256,Intel,HD Graphics 620,Linux,2.0,2219.23
Lenovo,IdeaPad 320-15AST,Notebook,17.3,1600x900,AMD,A6-Series 9220,2.5,8,HDD,1024,AMD,Radeon R4,Windows 10,2.8,2060.4300000000003
Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,Intel,Core i5 8250U,1.6,4,SSD,256,AMD,Radeon 530,Windows 10,2.2,2973.53
Lenovo,ThinkPad X270,Ultrabook,12.5,IPS Panel Full HD 1920x1080,Intel,Core i5 7200U,2.5,8,SSD,256,Intel,HD Graphics 620,Windows 10,1.36,5673.13
Lenovo,IdeaPad 320-15IAP,Notebook,15.6,Full HD 1920x1080,Intel,Pentium Quad Core N4200,1.1,4,SSD,128,Intel,HD Graphics 505,Windows 10,2.2,1385.53
HP,Omen 15-AX205na,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel,Core i7 7700HQ,2.8,8,SSD+HDD,1152,Nvidia,GeForce GTX 1050,Windows 10,2.2,4363.030000000001
Dell,Latitude 5480,Notebook,14.0,Full HD 1920x1080,Intel,Core i5 7440HQ,2.8,8,SSD,256,Nvidia,GeForce 930MX,Windows 10,1.64,4680.63
Acer,Aspire ES1-572,Notebook,15.6,1366x768,Intel,Core i5 7200U,2.5,4,HDD,500,Intel,HD Graphics 620,Linux,2.4,1753.9460000000001
Dell,Precision 3520,Workstation,15.6,Full HD 1920x1080,Intel,Xeon E3-1505M V6,3.0,8,Flash+HDD,1088,Nvidia,Quadro M620,Windows 10,2.23,7912.21
MSI,GV62 7RD-1686NL,Gaming,15.6,Full HD 1920x1080,Intel,Core i5 7300HQ,2.5,8,SSD,256,Nvidia,GeForce GTX 1050,Windows 10,2.2,4080.1278
Microsoft,Surface Laptop,Ultrabook,13.5,Touchscreen 2256x1504,Intel,Core i7 7660U,2.5,16,SSD,512,Intel,Iris Plus Graphics 640,Windows 10 S,1.25,10278.33
HP,15-bs024nv (i5-7200U/8GB/128GB/W10),Notebook,15.6,1366x768,Intel,Core i5 7200U,2.5,8,SSD,128,Intel,HD Graphics 620,Windows 10,1.91,2338.33
Dell,Precision 3520,Workstation,15.6,IPS Panel Full HD 1920x1080,Intel,Core i7 6820HQ,2.7,16,SSD,256,Nvidia,Quadro M620,Windows 10,2.17,7840.75
HP,ProBook 650,Workstation,15.6,IPS Panel Full HD 1920x1080,Intel,Core i7 7820HQ,2.9,8,SSD,512,Intel,HD Graphics 620,Windows 10,2.31,6089.9800000000005
Lenovo,ThinkPad T470,Notebook,14.0,Full HD 1920x1080,Intel,Core i5 7200U,2.5,8,SSD,256,Intel,HD Graphics 620,Windows 10,1.65,5339.650000000001
Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,Intel,Core i7 8550U,1.8,8,SSD+HDD,1152,AMD,Radeon 530,Windows 10,2.36,3886.63
Dell,Inspiron 3168,2 in 1 Convertible,11.6,Touchscreen 1366x768,Intel,Pentium Quad Core N3710,1.6,4,HDD,500,Intel,HD Graphics 405,Windows 10,1.47,1901.63
Dell,Alienware 17,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel,Core i7 7700HQ,2.7,8,HDD,1024,Nvidia,GeForce GTX 1060,Windows 10,4.42,8122.620000000001
Microsoft,Surface Laptop,Ultrabook,13.5,Touchscreen 2256x1504,Intel,Core M m3-7Y30,2.2,4,SSD,128,Intel,HD Graphics 615,Windows 10 S,1.252,3926.3300000000004
Microsoft,Surface Laptop,Ultrabook,13.5,Touchscreen 2256x1504,Intel,Core i7 7660U,2.5,8,SSD,256,Intel,Iris Plus Graphics 640,Windows 10 S,1.25,7142.030000000001
HP,17-BS092ND (i3-6006U/8GB/256GB/W10),Notebook,17.3,1600x900,Intel,Core i3 6006U,2.0,8,SSD,256,Intel,HD Graphics 520,Windows 10,2.5,2540.4030000000002
Acer,Aspire E5-576G,Notebook,15.6,Full HD 1920x1080,Intel,Core i3 6006U,2.0,4,HDD,1024,Nvidia,GeForce 940MX,Windows 10,2.23,2159.6800000000003
Acer,TravelMate B,Netbook,11.6,1366x768,Intel,Celeron Dual Core N3060,1.6,4,SSD,128,Intel,HD Graphics 400,Windows 10,1.4,1726.95
Asus,Pro P2540UA-AB51,Notebook,15.6,Full HD 1920x1080,Intel,Core i5 7200U,2.5,8,HDD,1024,Intel,HD Graphics 620,Windows 10,2.37,2973.53
Lenovo,IdeaPad 510s-14IKB,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel,Core i7 7500U,2.7,8,SSD,512,AMD,Radeon R7 M460,No OS,1.5,3172.03
Lenovo,Thinkpad P51,Notebook,15.6,Full HD 1920x1080,Intel,Core i7 7820HQ,2.9,8,SSD,256,Nvidia,Quadro M2200M,Windows 10,2.67,8297.300000000001
Asus,X541NA-PD1003Y (N4200/4GB/500GB/W10),Notebook,15.6,1366x768,Intel,Pentium Quad Core N4200,1.1,4,HDD,500,Intel,HD Graphics 500,Windows 10,2.0,1206.88
